loan_id,title_id,title,subject,publication_year,patron_id,patron_type,branch,checkout_date,due_date,return_date,renewals
23,454,The Cambridge Companion to Postcolonial Fiction,Literature,1995,2553,Undergraduate,Music Library,2024-09-01,2024-09-22,2024-09-03,0
24,858,Introduction to Cell Biology,Biology,1993,2107,Graduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-10-09,0
25,377,The Oxford Handbook of Corporate Finance,Business,2011,1976,Undergraduate,Harold B. Lee Library,2024-09-01,2024-11-03,2024-11-01,2
26,1154,Topics in Old English Verse,Literature,1982,1999,Undergraduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-09-29,1
27,866,The Oxford Handbook of Market Structure,Business,1968,2234,Undergraduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-10-10,1
28,330,The Practice of Operating Systems,Computer Science,1960,395,Graduate,Harold B. Lee Library,2024-09-01,2024-10-13,2024-09-18,0
29,417,Readings in Compiler Design,Computer Science,1995,1468,Undergraduate,Harold B. Lee Library,2024-09-01,2024-09-22,2024-09-09,0
30,872,Essays on Negotiation,Business,2018,1051,Undergraduate,Storage Annex,2024-09-01,2024-09-22,2024-09-07,0
31,979,Principles of Evidence,Law,2000,1060,Faculty,Law Library,2024-09-01,2025-04-29,2025-01-29,1
32,496,Readings in Corporate Finance,Business,1973,1070,Faculty,Engineering Library,2024-09-01,2024-12-30,2024-09-04,0
33,435,Principles of Literary Translation,Literature,2025,1856,Undergraduate,Law Library,2024-09-02,2024-09-23,2024-10-01,0
34,635,Principles of Machine Translation,Computer Science,1971,1687,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-19,0
35,242,Advanced Orchestration,Music,2002,1541,Undergraduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-10-04,1
36,499,Advanced Organizational Behavior,Business,2001,379,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-07,0
37,323,The Oxford Handbook of Literary Translation,Literature,1986,2007,Undergraduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-10-13,1
38,265,Introduction to Operating Systems,Computer Science,2023,509,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-10-15,0
39,229,Advanced the Short Story,Literature,1962,1304,Undergraduate,Engineering Library,2024-09-02,2024-09-23,2024-10-07,0
40,1127,Essays on Postcolonial Fiction,Literature,1978,1862,Graduate,Law Library,2024-09-02,2024-10-14,2024-10-11,0
41,746,A History of the Cold War,History,1982,517,Undergraduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-10-05,1
42,555,The Practice of Distributed Systems,Computer Science,2007,2061,Graduate,Harold B. Lee Library,2024-09-02,2024-11-25,2024-11-24,1
43,604,Essays on Modern Poetry,Literature,2022,1740,Graduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-11-21,0
44,89,Introduction to Curatorial Method,Art,1981,691,Graduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-11-10,0
45,731,A History of the Victorian Novel,Literature,1998,1481,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-22,0
46,746,A History of the Cold War,History,1982,350,Undergraduate,Harold B. Lee Library,2024-09-02,2024-11-04,2024-10-19,2
47,478,Readings in Baroque Performance,Music,1994,2286,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-08,0
48,256,Principles of Baroque Performance,Music,2023,863,Undergraduate,Engineering Library,2024-09-02,2024-10-14,2024-09-28,1
49,344,The Cambridge Companion to Algebraic Topology,Mathematics,1987,369,Undergraduate,Engineering Library,2024-09-02,2024-09-23,2024-09-10,0
50,534,Approaches to Immunology,Biology,1967,2553,Undergraduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-11-15,1
51,42,Foundations of Corporate Finance,Business,2024,647,Graduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-10-13,0
52,1164,The Practice of Machine Translation,Computer Science,1968,224,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-14,0
53,445,Advanced Structural Analysis,Engineering,1990,1837,Undergraduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-11-01,1
54,572,Readings in Negotiation,Business,1983,768,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-17,0
55,175,Introduction to the Reformation,History,1962,669,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-12,0
56,291,Essays on the Meiji Restoration,History,1991,104,Faculty,Harold B. Lee Library,2024-09-02,2024-12-31,2024-09-23,0
57,1034,A History of Corporate Finance,Business,1964,1527,Staff,Law Library,2024-09-02,2024-11-25,2024-12-10,1
58,396,The Practice of Operating Systems,Computer Science,2001,1352,Graduate,Harold B. Lee Library,2024-09-02,2024-11-25,2024-10-20,1
59,771,Essays on International Arbitration,Law,1962,577,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-18,0
60,994,Introduction to Thermodynamics,Engineering,2016,1906,Undergraduate,Harold B. Lee Library,2024-09-02,2024-09-23,2024-09-27,0
61,628,The Cambridge Companion to Postcolonial Fiction,Literature,1965,431,Graduate,Harold B. Lee Library,2024-09-02,2024-10-14,2024-09-04,0
62,525,The Oxford Handbook of Literary Translation,Literature,1963,1274,Undergraduate,Engineering Library,2024-09-02,2024-09-23,2024-09-16,0
63,246,The Practice of Contract Law,Law,1967,296,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-09-12,0
64,756,Approaches to Negotiation,Business,1987,4,Undergraduate,Music Library,2024-09-03,2024-09-24,2024-10-19,0
65,10,Topics in Contract Law,Law,1979,537,Faculty,Harold B. Lee Library,2024-09-03,2025-05-01,2025-04-12,1
66,881,The Oxford Handbook of Compiler Design,Computer Science,1961,1548,Undergraduate,Engineering Library,2024-09-03,2024-09-24,2024-09-27,0
67,808,A History of Republican Rome,History,2005,1580,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-10-12,0
68,722,The Cambridge Companion to Music Theory,Music,1985,335,Undergraduate,Harold B. Lee Library,2024-09-03,2024-10-15,2024-10-07,1
69,136,Approaches to Modern Poetry,Literature,2000,214,Graduate,Law Library,2024-09-03,2024-10-15,,0
70,689,Topics in Market Structure,Business,1992,2045,Staff,Harold B. Lee Library,2024-09-03,2024-10-15,2024-10-01,0
71,993,Advanced Immunology,Biology,2014,408,Undergraduate,Music Library,2024-09-03,2024-10-15,2024-10-01,1
72,573,Introduction to the Short Story,Literature,2009,510,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-09-11,0
73,725,The Cambridge Companion to the Silk Road,History,1996,1832,Undergraduate,Harold B. Lee Library,2024-09-03,2024-11-05,2024-10-24,2
74,264,The Cambridge Companion to Organizational Behavior,Business,1988,2340,Undergraduate,Law Library,2024-09-03,2024-09-24,2024-09-06,0
75,645,Essays on Ethnomusicology,Music,2013,1564,Graduate,Harold B. Lee Library,2024-09-03,2024-10-15,2024-09-26,0
76,65,Principles of Machine Translation,Computer Science,2013,1094,Graduate,Harold B. Lee Library,2024-09-03,2024-10-15,2024-09-25,0
77,620,The Practice of the Reformation,History,2020,2494,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-10-24,0
78,316,Essays on Photographic Practice,Art,1981,838,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-10-07,0
79,563,A History of Fluid Mechanics,Engineering,1993,2271,Undergraduate,Engineering Library,2024-09-03,2024-09-24,2024-10-17,0
80,1196,Topics in Control Systems,Engineering,1975,1239,Graduate,Engineering Library,2024-09-03,2024-10-15,2024-09-13,0
81,502,Foundations of Administrative Procedure,Law,2025,584,Staff,Law Library,2024-09-03,2024-10-15,2024-09-28,0
82,17,Principles of Negotiation,Business,2020,1475,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-09-11,0
83,1142,Advanced Evidence,Law,2006,2437,Graduate,Law Library,2024-09-03,2024-10-15,,0
84,848,A History of the Silk Road,History,1961,970,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,,0
85,13,Readings in Torts,Law,2011,2494,Undergraduate,Harold B. Lee Library,2024-09-03,2024-10-15,,1
86,659,The Cambridge Companion to Machine Translation,Computer Science,1993,760,Undergraduate,Engineering Library,2024-09-03,2024-10-15,2024-10-10,1
87,388,Essays on Structural Analysis,Engineering,2022,1177,Undergraduate,Engineering Library,2024-09-03,2024-09-24,2024-10-03,0
88,568,Principles of Immunology,Biology,1978,1484,Graduate,Law Library,2024-09-03,2024-10-15,2024-11-27,0
89,381,Readings in Supply Chains,Business,1959,1458,Faculty,Harold B. Lee Library,2024-09-03,2025-01-01,2024-10-06,0
90,161,Essays on Genomics,Biology,2023,1630,Graduate,Harold B. Lee Library,2024-09-03,2024-11-26,2024-12-21,1
91,766,Principles of the Reformation,History,1961,2461,Undergraduate,Storage Annex,2024-09-03,2024-09-24,2024-09-11,0
92,1109,Topics in Torts,Law,1993,1388,Undergraduate,Harold B. Lee Library,2024-09-03,2024-10-15,2024-11-14,1
93,989,Principles of Computer Networks,Computer Science,2020,309,Graduate,Harold B. Lee Library,2024-09-03,2024-10-15,2024-09-09,0
94,224,Essays on Negotiation,Business,2017,2165,Undergraduate,Law Library,2024-09-03,2024-10-15,2024-09-26,1
95,289,Essays on Orchestration,Music,2025,1600,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-09-07,0
96,927,The Practice of Neurophysiology,Biology,1990,2537,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-09-19,0
97,237,Principles of Photographic Practice,Art,1978,2065,Undergraduate,Music Library,2024-09-03,2024-10-15,2024-09-29,1
98,1024,The Oxford Handbook of International Arbitration,Law,1969,2015,Undergraduate,Harold B. Lee Library,2024-09-03,2024-09-24,2024-10-04,0
99,992,Readings in Organizational Behavior,Business,2024,1489,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-21,0
100,977,Readings in Compiler Design,Computer Science,1966,1289,Graduate,Law Library,2024-09-04,2024-10-16,2024-11-01,0
101,1161,The Practice of the Silk Road,History,1982,992,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-10-07,0
102,680,A History of Materials Science,Engineering,1992,2529,Undergraduate,Storage Annex,2024-09-04,2024-11-06,2024-10-21,2
103,839,The Practice of the Cold War,History,1958,2013,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-07,0
104,172,The Cambridge Companion to Control Systems,Engineering,1988,1927,Undergraduate,Engineering Library,2024-09-04,2024-09-25,,0
105,1040,Readings in Population Ecology,Biology,2007,1121,Undergraduate,Harold B. Lee Library,2024-09-04,2024-11-06,2024-12-15,2
106,172,The Cambridge Companion to Control Systems,Engineering,1988,1854,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-10-04,0
107,35,Principles of Old English Verse,Literature,1996,823,Graduate,Harold B. Lee Library,2024-09-04,2024-10-16,2024-11-13,0
108,477,The Practice of Operating Systems,Computer Science,1968,586,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-08,0
109,354,The Oxford Handbook of Immunology,Biology,2007,2033,Undergraduate,Engineering Library,2024-09-04,2024-09-25,2024-10-12,0
110,563,A History of Fluid Mechanics,Engineering,1993,984,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-23,0
111,183,Approaches to Computer Networks,Computer Science,1963,2224,Undergraduate,Harold B. Lee Library,2024-09-04,2024-11-06,2024-11-15,2
112,903,The Practice of Old English Verse,Literature,1991,1038,Faculty,Storage Annex,2024-09-04,2025-01-02,2024-09-30,0
113,147,Topics in Compiler Design,Computer Science,1987,1481,Undergraduate,Storage Annex,2024-09-04,2024-09-25,2024-11-08,0
114,1048,Principles of the Meiji Restoration,History,1970,2521,Undergraduate,Storage Annex,2024-09-04,2024-09-25,2024-09-25,0
115,719,Principles of Control Systems,Engineering,2022,709,Staff,Harold B. Lee Library,2024-09-04,2024-10-16,2024-09-25,0
116,725,The Cambridge Companion to the Silk Road,History,1996,365,Staff,Music Library,2024-09-04,2024-10-16,2024-10-04,0
117,103,A History of Market Structure,Business,2024,2067,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-22,0
118,677,Principles of Fluid Mechanics,Engineering,1969,1275,Undergraduate,Music Library,2024-09-04,2024-10-16,2024-10-05,1
119,37,Approaches to Renaissance Painting,Art,1987,767,Undergraduate,Engineering Library,2024-09-04,2024-09-25,2024-09-05,0
120,583,The Practice of Postcolonial Fiction,Literature,2025,2134,Undergraduate,Engineering Library,2024-09-04,2024-09-25,2024-09-05,0
121,823,The Oxford Handbook of the Reformation,History,1960,1556,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-26,0
122,162,The Cambridge Companion to the Short Story,Literature,1987,956,Graduate,Storage Annex,2024-09-04,2024-10-16,2024-11-09,0
123,137,The Oxford Handbook of Operating Systems,Computer Science,2016,417,Graduate,Engineering Library,2024-09-04,2024-10-16,2024-09-17,0
124,811,Readings in Ethnomusicology,Music,1968,72,Faculty,Harold B. Lee Library,2024-09-04,2025-05-02,2025-04-19,1
125,734,Readings in Corporate Finance,Business,1992,167,Undergraduate,Harold B. Lee Library,2024-09-04,2024-11-06,2024-11-25,2
126,768,A History of Number Theory,Mathematics,1977,232,Graduate,Harold B. Lee Library,2024-09-04,2024-10-16,2024-09-27,0
127,232,The Oxford Handbook of International Arbitration,Law,1979,1108,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-09-27,0
128,109,Principles of Probability,Mathematics,1976,950,Undergraduate,Engineering Library,2024-09-04,2024-09-25,2024-09-04,0
129,171,The Practice of Control Systems,Engineering,1970,825,Undergraduate,Engineering Library,2024-09-04,2024-09-25,,0
130,461,The Oxford Handbook of Cell Biology,Biology,1994,451,Staff,Harold B. Lee Library,2024-09-04,2024-10-16,2024-09-19,0
131,664,Essays on Compiler Design,Computer Science,1964,1567,Undergraduate,Engineering Library,2024-09-04,2024-09-25,2024-10-24,0
132,566,The Cambridge Companion to the Reformation,History,1982,2127,Undergraduate,Harold B. Lee Library,2024-09-04,2024-09-25,2024-10-10,0
133,583,The Practice of Postcolonial Fiction,Literature,2025,1654,Undergraduate,Music Library,2024-09-04,2024-09-25,2024-09-11,0
134,877,Essays on Machine Translation,Computer Science,2006,353,Staff,Harold B. Lee Library,2024-09-04,2024-10-16,2024-10-01,0
135,1041,Foundations of Postcolonial Fiction,Literature,1996,1258,Undergraduate,Law Library,2024-09-04,2024-09-25,2024-09-18,0
136,1090,Principles of Fluid Mechanics,Engineering,2008,1294,Undergraduate,Harold B. Lee Library,2024-09-05,2024-09-26,2024-09-08,0
137,923,Principles of Computer Networks,Computer Science,1999,2435,Graduate,Music Library,2024-09-05,2024-10-17,2024-09-08,0
138,262,Foundations of Operating Systems,Computer Science,1978,208,Faculty,Storage Annex,2024-09-05,2025-05-03,2025-05-03,1
139,287,The Cambridge Companion to Computer Networks,Computer Science,2008,1416,Undergraduate,Harold B. Lee Library,2024-09-05,2024-09-26,2024-09-08,0
140,519,Readings in the Atlantic Slave Trade,History,1969,134,Staff,Music Library,2024-09-05,2024-10-17,2024-09-06,0
141,1029,A History of Negotiation,Business,1976,654,Undergraduate,Harold B. Lee Library,2024-09-05,2024-09-26,2024-09-06,0
142,651,The Oxford Handbook of Computer Networks,Computer Science,2006,497,Undergraduate,Storage Annex,2024-09-05,2024-09-26,2024-10-10,0
143,729,A History of the Reformation,History,2017,83,Graduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-09-26,0
144,648,Foundations of Control Systems,Engineering,2022,2104,Graduate,Storage Annex,2024-09-05,2024-10-17,2024-11-06,0
145,435,Principles of Literary Translation,Literature,2025,324,Undergraduate,Engineering Library,2024-09-05,2024-09-26,2024-09-26,0
146,541,Foundations of Literary Translation,Literature,1959,1721,Graduate,Storage Annex,2024-09-05,2024-10-17,2024-10-15,0
147,772,Introduction to the Silk Road,History,1967,1301,Undergraduate,Music Library,2024-09-05,2024-09-26,2024-11-05,0
148,204,Foundations of International Arbitration,Law,1966,1962,Graduate,Engineering Library,2024-09-05,2024-10-17,2024-09-15,0
149,717,Advanced Probability,Mathematics,1974,2430,Staff,Harold B. Lee Library,2024-09-05,2024-11-28,2024-11-24,1
150,380,Introduction to Administrative Procedure,Law,2018,784,Undergraduate,Harold B. Lee Library,2024-09-05,2024-09-26,2024-09-26,0
151,551,Principles of Supply Chains,Business,1960,604,Undergraduate,Harold B. Lee Library,2024-09-05,2024-09-26,2024-09-20,0
152,582,Advanced the Short Story,Literature,1975,681,Undergraduate,Engineering Library,2024-09-05,2024-09-26,2024-09-15,0
153,425,Introduction to International Arbitration,Law,1995,86,Staff,Harold B. Lee Library,2024-09-05,2024-10-17,2024-09-26,0
154,1067,Introduction to Computer Networks,Computer Science,1976,1020,Graduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-10-28,0
155,677,Principles of Fluid Mechanics,Engineering,1969,1420,Undergraduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-10-15,1
156,141,The Practice of Plant Systematics,Biology,2025,794,Graduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-09-08,0
157,494,Principles of Postcolonial Fiction,Literature,1966,2297,Undergraduate,Law Library,2024-09-05,2024-11-07,2024-10-17,2
158,819,Introduction to Genomics,Biology,2014,1845,Faculty,Engineering Library,2024-09-05,2025-01-03,2024-11-28,0
159,353,Readings in Structural Analysis,Engineering,1992,201,Undergraduate,Music Library,2024-09-05,2024-11-07,2024-10-28,2
160,597,A History of Differential Geometry,Mathematics,1996,1281,Graduate,Harold B. Lee Library,2024-09-05,2024-11-28,2024-11-15,1
161,1010,A History of Twentieth Century Harmony,Music,1959,1910,Undergraduate,Engineering Library,2024-09-05,2024-09-26,2024-10-23,0
162,1152,Essays on Geotechnical Design,Engineering,2013,2338,Faculty,Engineering Library,2024-09-05,2025-01-03,2025-02-04,0
163,553,The Cambridge Companion to the Victorian Novel,Literature,1969,2597,Graduate,Music Library,2024-09-05,2024-10-17,2024-11-23,0
164,751,Topics in Modern Poetry,Literature,2022,424,Graduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-10-22,0
165,1165,Principles of the Atlantic Slave Trade,History,1992,784,Undergraduate,Harold B. Lee Library,2024-09-05,2024-10-17,2024-11-20,1
166,259,The Cambridge Companion to Control Systems,Engineering,1995,1388,Undergraduate,Engineering Library,2024-09-05,2024-11-07,2024-10-26,2
167,305,Principles of Operating Systems,Computer Science,2011,1981,Graduate,Law Library,2024-09-06,2025-01-10,2025-01-13,2
168,637,Topics in Organizational Behavior,Business,2006,70,Undergraduate,Music Library,2024-09-06,2024-11-08,2024-12-11,2
169,514,Essays on Distributed Systems,Computer Science,2022,597,Undergraduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-10-12,1
170,710,Foundations of Torts,Law,2003,404,Undergraduate,Storage Annex,2024-09-06,2024-10-18,2024-10-13,1
171,287,The Cambridge Companion to Computer Networks,Computer Science,2008,1765,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-21,0
172,986,A History of Baroque Performance,Music,1991,1680,Undergraduate,Engineering Library,2024-09-06,2024-09-27,,0
173,134,A History of Computer Networks,Computer Science,1983,711,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-10-22,0
174,114,The Practice of Postcolonial Fiction,Literature,1981,759,Undergraduate,Law Library,2024-09-06,2024-10-18,2024-10-18,1
175,727,Introduction to Compiler Design,Computer Science,1963,2439,Graduate,Storage Annex,2024-09-06,2024-10-18,2024-11-21,0
176,249,Readings in Corporate Finance,Business,1982,786,Undergraduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-10-17,1
177,93,Readings in Thermodynamics,Engineering,1989,1576,Undergraduate,Music Library,2024-09-06,2024-09-27,2024-09-24,0
178,986,A History of Baroque Performance,Music,1991,1909,Undergraduate,Engineering Library,2024-09-06,2024-09-27,2024-10-01,0
179,802,The Cambridge Companion to Old English Verse,Literature,1958,1404,Undergraduate,Music Library,2024-09-06,2024-11-08,2024-10-18,2
180,201,Advanced the Silk Road,History,1995,2505,Undergraduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-09-30,1
181,1083,Introduction to the Meiji Restoration,History,1966,2517,Undergraduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-09-29,1
182,514,Essays on Distributed Systems,Computer Science,2022,1597,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-06,0
183,1059,Foundations of Old English Verse,Literature,2020,955,Undergraduate,Law Library,2024-09-06,2024-09-27,2024-10-16,0
184,285,Readings in Genomics,Biology,1999,714,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-09,0
185,601,Essays on Control Systems,Engineering,1974,1906,Undergraduate,Engineering Library,2024-09-06,2024-09-27,2024-09-25,0
186,513,Introduction to Republican Rome,History,1989,2113,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-21,0
187,232,The Oxford Handbook of International Arbitration,Law,1979,143,Undergraduate,Engineering Library,2024-09-06,2024-11-08,2024-11-08,2
188,882,Topics in the Atlantic Slave Trade,History,1992,2156,Staff,Harold B. Lee Library,2024-09-06,2024-10-18,2024-10-12,0
189,561,Readings in Evidence,Law,1995,1488,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-23,0
190,1176,Advanced Negotiation,Business,1961,907,Undergraduate,Law Library,2024-09-06,2024-10-18,2024-10-09,1
191,825,The Cambridge Companion to Administrative Procedure,Law,1977,778,Graduate,Harold B. Lee Library,2024-09-06,2024-11-29,2024-12-09,1
192,1012,A History of the Fugue,Music,2018,811,Undergraduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-11-06,1
193,857,The Practice of Managerial Accounting,Business,1960,711,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,,0
194,312,The Cambridge Companion to Machine Translation,Computer Science,1972,2573,Graduate,Harold B. Lee Library,2024-09-06,2024-10-18,2024-10-08,0
195,463,Approaches to Old English Verse,Literature,2016,1872,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-10-17,0
196,1094,Principles of Computer Networks,Computer Science,1979,2233,Undergraduate,Harold B. Lee Library,2024-09-06,2024-09-27,2024-09-10,0
197,121,Approaches to Control Systems,Engineering,1999,2290,Undergraduate,Law Library,2024-09-06,2024-10-18,2024-09-29,1
198,144,The Cambridge Companion to Computer Networks,Computer Science,1981,1488,Undergraduate,Engineering Library,2024-09-06,2024-09-27,2024-09-09,0
199,318,The Practice of Contract Law,Law,1968,765,Undergraduate,Harold B. Lee Library,2024-09-07,2024-09-28,2024-09-29,0
200,1071,The Cambridge Companion to Supply Chains,Business,1981,787,Undergraduate,Law Library,2024-09-07,2024-09-28,2024-10-07,0
201,491,Principles of Computer Networks,Computer Science,1981,109,Faculty,Harold B. Lee Library,2024-09-07,2025-01-05,2025-02-07,0
202,279,A History of the Atlantic Slave Trade,History,1988,1604,Graduate,Harold B. Lee Library,2024-09-07,2024-10-19,2024-09-12,0
203,1122,Advanced Computer Networks,Computer Science,2015,1252,Graduate,Harold B. Lee Library,2024-09-07,2024-11-30,2024-12-05,1
204,1100,A History of Supply Chains,Business,2000,1705,Undergraduate,Engineering Library,2024-09-07,2024-11-09,2024-12-13,2
205,568,Principles of Immunology,Biology,1978,81,Undergraduate,Law Library,2024-09-07,2024-10-19,2024-10-26,1
206,1162,Principles of Machine Translation,Computer Science,1968,1149,Graduate,Harold B. Lee Library,2024-09-07,2024-11-30,2024-11-17,1
207,14,Foundations of Operating Systems,Computer Science,2003,149,Staff,Harold B. Lee Library,2024-09-07,2024-10-19,2024-10-18,0
208,763,The Practice of Genomics,Biology,2009,240,Undergraduate,Harold B. Lee Library,2024-09-07,2024-09-28,2024-09-16,0
209,813,Readings in Negotiation,Business,2013,2276,Undergraduate,Harold B. Lee Library,2024-09-07,2024-09-28,2024-09-27,0
210,700,Readings in Postcolonial Fiction,Literature,2024,2250,Undergraduate,Harold B. Lee Library,2024-09-07,2024-09-28,2024-09-14,0
211,784,Introduction to Twentieth Century Harmony,Music,1982,425,Undergraduate,Law Library,2024-09-07,2024-09-28,2024-09-18,0
212,1191,Advanced Population Ecology,Biology,1962,512,Faculty,Harold B. Lee Library,2024-09-07,2025-05-05,2025-06-05,1
213,1149,Foundations of Administrative Procedure,Law,1973,1450,Undergraduate,Harold B. Lee Library,2024-09-07,2024-09-28,2024-11-05,0
214,1105,Approaches to Genomics,Biology,1987,140,Undergraduate,Harold B. Lee Library,2024-09-07,2024-10-19,2024-10-04,1
215,373,The Cambridge Companion to Modern Sculpture,Art,2016,2168,Undergraduate,Engineering Library,2024-09-07,2024-11-09,2024-10-29,2
