ticket_id,ticket_age_hours,customer_tenure_days,prior_tickets_90d,message_count,account_seats,plan_tier_rank,escalated
T-01349,19.2,255,2,8,70,1,0
T-01350,3.0,450,2,7,280,4,0
T-01351,35.8,1681,0,5,234,3,0
T-01352,7.6,1856,2,7,32,2,0
T-01353,58.2,1172,2,6,333,3,0
T-01354,33.5,995,2,5,15,2,0
T-01355,8.3,1420,5,7,171,4,1
T-01356,45.0,2090,2,8,90,3,1
T-01357,41.5,1620,0,6,138,1,0
T-01358,153.3,1219,3,6,268,1,1
T-01359,12.9,1729,3,3,84,3,0
T-01360,24.7,1165,3,9,67,2,0
T-01361,16.5,1693,1,4,242,3,1
T-01362,42.5,876,3,7,1106,2,1
T-01363,3.6,1138,3,8,116,2,0
T-01364,33.9,1104,2,2,1229,2,1
T-01365,116.3,855,0,5,27,1,1
T-01366,32.6,1311,2,6,111,3,0
T-01367,63.8,1570,1,8,33,1,0
T-01368,4.9,1518,3,3,92,2,0
T-01369,42.4,1165,0,5,16,4,0
T-01370,14.9,1627,2,7,168,1,1
T-01371,76.9,888,2,5,56,2,1
T-01372,37.5,51,1,7,65,4,1
T-01373,16.0,742,1,6,10,4,1
T-01374,17.9,57,1,7,196,2,0
T-01375,4.9,83,1,4,123,2,1
T-01376,10.3,1089,1,6,114,1,0
T-01377,51.8,721,1,4,649,1,0
T-01378,8.2,1342,5,2,33,2,0
T-01379,19.4,1055,2,4,62,2,0
T-01380,82.3,831,0,3,516,1,0
T-01381,9.6,1941,2,4,28,3,0
T-01382,52.4,835,0,8,4093,1,1
T-01383,32.3,708,0,5,21,1,0
T-01384,6.1,1411,1,6,22,3,0
T-01385,12.5,563,3,5,134,1,1
T-01386,6.6,2168,4,5,233,1,0
T-01387,61.3,74,3,8,46,1,1
T-01388,8.8,1406,2,10,141,1,0
T-01389,24.4,399,1,6,189,1,1
T-01390,33.2,2152,0,3,175,1,0
T-01391,64.1,1443,2,4,722,2,1
T-01392,57.7,462,1,7,47,1,1
T-01393,5.4,2138,4,5,374,2,0
T-01394,2.3,1461,1,8,136,4,1
T-01395,62.0,1570,0,6,99,2,0
T-01396,1.8,440,1,8,52,1,0
T-01397,20.4,784,1,7,56,1,0
T-01398,7.0,1625,2,4,31,2,0
T-01399,6.2,325,1,10,1546,2,1
T-01400,12.7,1404,2,6,80,2,0
T-01401,11.1,1283,2,3,6,1,0
T-01402,18.2,775,1,6,32,1,0
T-01403,30.4,1186,5,6,1815,1,1
T-01404,45.4,2053,3,7,651,2,0
T-01405,74.3,400,0,9,456,1,1
T-01406,60.5,1690,0,5,307,2,1
T-01407,44.6,242,3,5,868,3,1
T-01408,41.5,442,1,1,457,2,0
T-01409,4.2,1583,1,5,888,1,0
T-01410,40.2,1962,1,8,8,1,0
T-01411,149.5,783,2,7,688,2,1
T-01412,1.9,344,2,5,250,3,0
T-01413,24.6,1118,4,3,108,1,0
T-01414,31.0,442,1,6,45,2,1
T-01415,15.4,257,1,4,125,1,0
T-01416,32.4,1684,0,4,47,1,0
T-01417,77.7,1742,1,6,261,1,0
T-01418,33.6,574,1,6,85,1,0
T-01419,14.7,1688,1,6,297,2,0
T-01420,35.6,569,2,1,310,1,0
T-01421,74.7,302,3,5,74,1,1
T-01422,8.0,1688,0,4,113,2,0
T-01423,34.1,1341,1,4,61,1,0
T-01424,3.7,2120,2,7,261,3,1
T-01425,26.6,868,1,5,13,1,0
T-01426,6.4,181,2,7,112,3,1
T-01427,19.8,371,0,6,543,1,0
T-01428,152.4,238,3,4,26,1,1
T-01429,23.3,1135,5,6,13,1,1
T-01430,5.1,1532,2,6,68,2,0
T-01431,10.5,2185,1,7,530,1,0
T-01432,11.0,39,1,6,630,2,0
T-01433,61.3,9,3,5,7,1,1
T-01434,9.1,1147,2,8,14,2,1
T-01435,13.7,1056,2,3,403,3,0
T-01436,8.7,1993,4,2,71,3,0
T-01437,2.1,111,2,7,29,1,0
T-01438,46.7,976,1,4,1110,1,1
T-01439,169.5,2048,1,4,178,3,1
T-01440,11.0,1065,2,4,17,1,0
T-01441,15.3,1875,1,2,3908,2,0
T-01442,28.8,1262,3,4,184,3,1
T-01443,31.8,1083,2,2,47,1,1
T-01444,38.1,1931,3,7,7,1,1
T-01445,45.7,864,0,3,76,3,0
T-01446,81.5,1394,3,6,48,2,1
T-01447,13.1,787,2,5,681,1,1
T-01448,12.2,1079,3,5,144,1,1
T-01449,35.1,2168,3,3,30,3,1
T-01450,79.3,355,3,5,76,2,1
T-01451,37.2,244,0,10,60,1,0
T-01452,24.8,966,4,7,381,3,1
T-01453,19.5,114,3,3,197,2,0
T-01454,37.5,292,3,2,24,3,1
T-01455,3.0,461,5,5,29,3,0
T-01456,28.6,1007,1,4,85,1,0
T-01457,44.4,1565,1,4,4973,3,1
T-01458,31.7,732,4,5,135,1,0
T-01459,145.3,83,1,5,62,1,1
T-01460,18.6,499,1,8,45,1,1
T-01461,46.9,822,0,5,155,2,0
T-01462,16.1,1848,2,3,649,1,0
T-01463,63.9,542,1,8,54,1,0
T-01464,78.8,360,1,2,492,2,1
T-01465,11.4,553,2,2,325,1,0
T-01466,33.0,385,2,6,20,1,1
T-01467,79.2,198,1,2,8,1,1
T-01468,8.5,1015,3,9,2,3,1
T-01469,26.5,1974,4,7,95,2,0
T-01470,111.7,2153,2,5,63,3,1
T-01471,2.4,1704,3,8,178,1,0
T-01472,6.2,27,1,5,26,2,0
T-01473,51.5,1811,3,8,24,3,1
T-01474,6.9,1065,2,7,1085,3,1
T-01475,14.9,653,0,6,65,2,0
T-01476,58.6,1847,1,5,82,1,1
T-01477,32.4,247,4,4,118,4,1
T-01478,18.7,1959,1,7,60,4,0
T-01479,11.8,709,1,3,197,2,0
T-01480,16.3,1508,0,8,450,1,0
T-01481,12.0,329,2,9,159,1,1
T-01482,28.4,508,1,9,87,3,0
T-01483,6.6,1316,2,7,17,3,0
T-01484,1.0,1625,1,5,168,2,0
T-01485,3.4,1040,1,2,53,1,0
T-01486,32.3,1978,2,2,56,3,0
T-01487,15.3,1476,2,9,107,2,0
T-01488,61.3,692,0,3,200,1,0
T-01489,32.5,239,0,4,308,3,0
T-01490,56.4,2154,4,7,33,2,1
T-01491,5.7,132,2,4,147,3,0
T-01492,47.1,1372,4,5,61,1,1
T-01493,11.4,910,4,3,63,1,0
T-01494,53.3,378,1,4,27,4,0
T-01495,46.7,741,5,8,258,3,1
T-01496,32.1,2090,5,7,16,3,1
T-01497,7.8,1348,2,5,10,2,0
T-01498,30.6,1196,1,10,256,1,0
T-01499,2.0,277,2,3,169,1,0
T-01500,67.5,1692,4,6,28,1,1
T-01501,1.5,790,0,6,26,3,1
T-01502,1.3,1691,1,6,232,4,0
T-01503,9.7,849,1,6,6,1,1
T-01504,10.6,91,2,2,69,2,0
T-01505,20.0,1669,0,4,89,2,0
T-01506,13.0,499,2,2,105,1,0
T-01507,1.2,144,2,8,31,4,0
T-01508,89.8,525,2,4,214,1,0
T-01509,50.2,1791,2,5,143,3,1
T-01510,39.1,256,3,6,74,2,1
T-01511,39.8,1427,0,2,1898,2,0
T-01512,27.1,412,3,4,8,2,0
T-01513,17.1,920,0,7,1231,1,0
T-01514,5.9,186,1,6,7,2,0
T-01515,5.8,1269,4,4,1323,2,1
T-01516,47.9,783,3,5,16,3,1
T-01517,13.0,859,3,4,52,1,0
T-01518,22.1,2076,1,8,45,1,0
T-01519,7.7,1359,3,5,1468,1,0
T-01520,9.2,828,1,2,107,1,0
T-01521,37.0,263,2,5,103,2,1
T-01522,55.3,1974,0,7,130,2,0
T-01523,1.4,351,3,4,524,2,0
T-01524,0.7,1943,3,4,271,1,0
T-01525,16.7,141,1,3,10,2,0
T-01526,27.8,1674,3,5,36,3,1
T-01527,32.3,522,3,5,278,1,0
T-01528,66.5,330,2,8,46,4,1
T-01529,3.7,1318,3,7,183,4,1
T-01530,10.7,136,2,9,169,3,1
T-01531,9.2,1357,2,7,42,2,1
T-01532,12.7,300,3,7,75,1,0
T-01533,2.7,48,2,9,107,1,0
T-01534,4.8,288,1,5,42,1,0
T-01535,26.8,239,4,7,38,2,0
T-01536,27.1,1610,3,2,53,1,0
T-01537,46.8,179,1,5,185,2,1
T-01538,23.1,1083,2,2,98,4,0
T-01539,52.7,733,2,6,375,1,1
T-01540,19.6,366,3,3,83,1,0
T-01541,53.4,487,7,5,31,1,1
T-01542,44.4,1055,1,8,609,1,0
T-01543,33.1,1079,4,4,14,2,0
T-01544,17.9,980,2,2,81,2,0
T-01545,5.2,1614,2,2,13,1,0
T-01546,12.3,493,2,4,143,1,1
T-01547,6.7,1156,1,6,21,2,1
T-01548,21.2,275,4,6,2620,2,0
T-01549,8.5,1903,3,9,20,1,0
T-01550,3.5,1837,2,2,135,4,0
T-01551,17.8,1105,1,7,284,1,0
T-01552,29.5,1609,2,3,196,1,0
T-01553,2.9,1132,0,9,1595,2,0
T-01554,111.0,2052,0,9,138,1,1
T-01555,94.3,1031,4,7,43,1,1
T-01556,7.6,1586,2,3,52,1,0
T-01557,2.4,2163,1,4,213,2,0
T-01558,1.7,1228,2,4,343,1,0
T-01559,23.8,184,3,4,24,2,1
T-01560,2.4,1703,5,10,22,2,0
T-01561,26.6,149,0,7,25,3,1
T-01562,16.5,1649,1,6,132,2,0
T-01563,13.4,411,3,4,42,3,0
T-01564,27.0,1569,0,4,216,3,1
T-01565,50.8,1279,4,5,1077,3,1
T-01566,38.7,1685,5,5,8,1,1
T-01567,135.4,1371,2,6,251,3,1
T-01568,72.2,748,3,4,107,1,1
T-01569,9.9,2001,3,7,167,1,0
T-01570,35.4,1633,1,7,92,2,0
T-01571,13.6,310,2,4,26,1,1
T-01572,47.3,35,3,5,344,2,1
T-01573,25.4,573,5,5,144,2,1
T-01574,2.7,348,3,6,15,1,0
T-01575,4.7,436,2,7,394,1,0
T-01576,38.4,1629,3,5,109,1,1
T-01577,33.9,1355,1,4,142,2,1
T-01578,32.0,119,2,3,127,2,1
T-01579,17.4,437,2,7,19,2,0
T-01580,90.7,717,5,2,712,2,1
T-01581,0.8,1908,3,1,469,2,0
T-01582,26.5,1873,5,6,611,1,1
T-01583,59.2,1277,0,4,732,3,1
T-01584,2.7,1216,3,4,114,2,0
T-01585,85.0,207,3,5,39,3,1
T-01586,39.7,1391,4,5,88,1,0
T-01587,41.9,1092,1,5,1054,3,1
T-01588,25.6,316,1,4,57,2,0
T-01589,18.9,1488,2,8,33,3,1
T-01590,33.8,1096,1,4,240,3,1
T-01591,29.5,690,0,2,983,2,0
T-01592,2.2,564,2,8,11,1,0
T-01593,51.3,1554,2,7,11,2,1
T-01594,0.9,190,3,4,268,2,0
T-01595,19.4,868,1,7,55,1,0
T-01596,5.2,1566,1,5,175,2,0
T-01597,25.8,767,4,5,98,1,1
T-01598,11.3,1635,4,3,65,1,0
T-01599,54.0,1908,3,5,19,3,0
